"Label (Grouping)","Total:","Total:!!Less than $10,000","Total:!!$10,000 to $14,999","Total:!!$15,000 to $19,999","Total:!!$20,000 to $24,999","Total:!!$25,000 to $29,999","Total:!!$30,000 to $34,999","Total:!!$35,000 to $39,999","Total:!!$40,000 to $44,999","Total:!!$45,000 to $49,999","Total:!!$50,000 to $59,999","Total:!!$60,000 to $74,999","Total:!!$75,000 to $99,999","Total:!!$100,000 to $124,999","Total:!!$125,000 to $149,999","Total:!!$150,000 to $199,999","Total:!!$200,000 or more"
"    Estimate","279,612","13,472","7,609","9,203","9,281","8,881","8,820","8,457","10,157","10,219","20,904","24,892","35,108","31,910","23,713","27,546","29,440"
"    Margin of Error","±3,564","±1,759","±1,323","±1,356","±1,385","±1,476","±1,462","±1,422","±1,537","±1,539","±2,365","±2,312","±2,832","±2,564","±2,519","±2,326","±2,304"
"Virginia","","","","","","","","","","","","","","","","",""
"    Estimate","3,402,670","159,145","103,091","80,133","100,948","92,422","107,191","91,548","111,346","98,844","204,484","289,214","427,889","354,379","257,933","363,049","561,054"
"    Margin of Error","±10,363","±7,871","±5,340","±5,105","±5,572","±7,147","±5,487","±5,665","±5,668","±5,120","±7,608","±9,086","±10,437","±10,189","±7,959","±10,211","±11,639"
"Washington","","","","","","","","","","","","","","","","",""
"    Estimate","3,101,265","139,382","83,500","71,454","79,466","73,062","83,675","87,683","88,734","79,736","181,486","265,994","395,418","340,752","252,956","341,068","536,899"
"    Margin of Error","±10,961","±7,256","±5,913","±5,362","±5,127","±4,128","±5,553","±4,659","±6,238","±4,695","±7,328","±9,600","±9,560","±9,355","±10,092","±10,045","±11,486"
"West Virginia","","","","","","","","","","","","","","","","",""
"    Estimate","743,644","48,021","42,145","33,527","40,022","32,825","35,539","38,196","32,953","31,816","57,389","73,823","91,239","66,036","40,484","41,977","37,652"
"    Margin of Error","±5,944","±3,422","±3,585","±2,851","±3,414","±3,203","±3,819","±3,131","±2,977","±2,804","±4,458","±3,979","±5,312","±4,230","±3,622","±3,030","±3,116"
"Wisconsin","","","","","","","","","","","","","","","","",""
"    Estimate","2,495,539","113,289","81,731","75,454","86,716","75,938","96,095","90,151","103,862","90,128","185,992","254,411","343,980","280,626","188,832","216,925","211,409"
"    Margin of Error","±8,832","±5,905","±4,616","±4,107","±4,931","±4,066","±5,206","±5,052","±4,892","±4,697","±6,054","±6,956","±8,929","±7,505","±5,521","±6,857","±5,806"
"Wyoming","","","","","","","","","","","","","","","","",""
"    Estimate","247,368","11,881","8,603","6,653","9,809","10,201","9,703","8,151","10,611","8,760","20,053","23,295","35,643","27,494","18,851","19,673","17,987"
"    Margin of Error","±3,204","±1,870","±1,582","±1,345","±1,617","±1,909","±1,771","±1,444","±1,552","±1,641","±2,629","±2,596","±3,173","±2,377","±2,258","±2,521","±2,260"
"Puerto Rico","","","","","","","","","","","","","","","","",""
"    Estimate","1,277,486","269,839","135,201","115,842","106,088","86,932","72,863","63,588","54,412","43,782","76,427","79,604","72,026","40,073","20,879","20,121","19,809"
"    Margin of Error","±11,386","±9,819","±6,672","±5,267","±5,510","±5,802","±4,254","±4,405","±4,384","±3,471","±5,709","±4,497","±4,965","±3,722","±2,811","±2,628","±2,678"
